filename,page,block,line,word,text,?,variable,first name,last name,street number,street name,city,state,zip,date,price,acct_#,int_usage
St_Clout_Minnisota_Water_Bill_sample,1,1,1,1,101156294,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,2,1,1,White|Simplex,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,3,1,1,1,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,1,On,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,2,July,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,3,1st,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,4,any,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,5,unpaid,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,6,amounts,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,7,more,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,8,than,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,9,30,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,10,days,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,11,past,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,12,due,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,13,will,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,14,be,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,15,certified,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,16,to,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,17,the,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,1,18,County,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,2,1,Auditor,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,2,2,for,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,2,3,collection,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,2,4,and,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,2,5,assessed,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,2,6,an,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,2,7,additional,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,2,8,$50 ,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,4,2,9,fee.,,,,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,5,1,1,Customer,,x,x,,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,5,1,2,Name,,x,,x,,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,5,2,1,Customer,,x,,,x,,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,5,2,2,billing,,x,,,,x,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,5,2,3,Address,,x,,,,x,,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,5,3,1,City,,x,,,,,x,,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,5,3,2,State,,x,,,,,,x,,,,,
St_Clout_Minnisota_Water_Bill_sample,1,5,3,3,Zip,,x,,,,,,,x,,,,
